job_id,company_id,company_name,title,location,work_type,experience_level,posting_date,views,applies,workplace_model,Role_Category,Annualized_Salary
3894547037,1419.0,Capital One,"Senior Manager, Generative AI Product Engineering - People Leader - (Remote Eligible)","New York, NY",FULL_TIME,Mid-Senior level,1712884453000.0,4.0,,Remote,Data Science,
3894547043,1419.0,Capital One,"Senior Manager, Generative AI Product Engineering - People Leader - (Remote Eligible)","San Jose, CA",FULL_TIME,Mid-Senior level,1712884458000.0,3.0,,Remote,Data Science,
3894547050,1419.0,Capital One,"Senior Manager, Generative AI Product Engineering - People Leader - (Remote Eligible)","Richmond, VA",FULL_TIME,Mid-Senior level,1712884466000.0,4.0,,Remote,Data Science,
3894548003,1419.0,Capital One,Senior Lead Engineer - Generative AI Infrastructure (Remote-Eligible),"San Jose, CA",FULL_TIME,Mid-Senior level,1712884451000.0,3.0,,Remote,Data Science,
3894548008,1419.0,Capital One,"Senior Manager, Generative AI Product Engineering - People Leader - (Remote Eligible)","New York, NY",FULL_TIME,Mid-Senior level,1712884454000.0,5.0,,Remote,Data Science,
3894548016,1419.0,Capital One,Senior Data Analyst,"Richmond, VA",FULL_TIME,Mid-Senior level,1712884458000.0,9.0,1.0,On-site / Hybrid,Data Analytics,
3894549561,1344.0,Honeywell,Data Engineer II,"Charlotte, NC",FULL_TIME,Entry level,1712793600000.0,4.0,,On-site / Hybrid,Data Engineering,
3894551223,8221.0,Equinix,Data Center Critical Facilities Engineer IV,"Los Angeles, CA",FULL_TIME,Associate,1712886187000.0,14.0,1.0,On-site / Hybrid,Data Engineering,80500.0
3894551518,1353.0,Tata Consultancy Services,Data Analyst,"Bellevue, WA",FULL_TIME,Entry level,1712887532000.0,10.0,,On-site / Hybrid,Data Analytics,
3894555902,28439179.0,Spotter,Lead Analytics Engineer,"Culver City, CA",FULL_TIME,Mid-Senior level,1712793600000.0,6.0,,On-site / Hybrid,Data Engineering,290000.0
3894559908,28439179.0,Spotter,Principal Analytics Engineer,"Culver City, CA",FULL_TIME,Mid-Senior level,1712793600000.0,3.0,,On-site / Hybrid,Data Engineering,300000.0
